Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Decision Tree,Extreme Gradient Boosting,5.5,0.8136637157667919,
Decision Tree,K-Nearest Neighbors,0.0,0.1,
Decision Tree,Logistic Regression,0.5,0.11568802229950938,
Decision Tree,Random Forest,1.5,0.26828588367711736,
Extreme Gradient Boosting,K-Nearest Neighbors,0.0,0.07652250047505922,
Extreme Gradient Boosting,Logistic Regression,0.5,0.11014892418594699,
Extreme Gradient Boosting,Random Forest,1.0,0.1840386271964254,
K-Nearest Neighbors,Logistic Regression,9.0,0.07652250047505922,
K-Nearest Neighbors,Random Forest,9.0,0.1,
Logistic Regression,Random Forest,4.0,1.0,
