Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Decision Tree,Extreme Gradient Boosting,4.0,1.0,
Decision Tree,K-Nearest Neighbors,9.0,0.1,
Decision Tree,Logistic Regression,9.0,0.1,
Decision Tree,Random Forest,7.5,0.26828588367711736,
Extreme Gradient Boosting,K-Nearest Neighbors,9.0,0.07652250047505922,
Extreme Gradient Boosting,Logistic Regression,8.5,0.11568802229950938,
Extreme Gradient Boosting,Random Forest,8.0,0.1840386271964254,
K-Nearest Neighbors,Logistic Regression,0.0,0.1,
K-Nearest Neighbors,Random Forest,0.0,0.1,
Logistic Regression,Random Forest,5.5,0.8247780950825133,
